"","HHSIZE","URBAN","[0-4]","(4,17]","(17,49]","(49,64]","(64,100]"
"30003837",1,1,0,0,0,1,0
"30003850",2,1,0,0,0,2,0
"30003854",1,1,0,0,0,0,1
"30003864",3,1,0,0,1,1,1
"30003877",1,1,0,0,1,0,0
"30003879",1,1,0,0,0,1,0
"30003894",1,1,0,0,0,0,1
"30003901",2,1,0,1,0,1,0
"30003904",1,1,0,0,0,0,1
"30003907",2,4,0,0,0,0,2
"30003926",1,1,0,0,0,0,1
"30003930",1,1,0,0,0,1,0
"30003940",1,4,0,0,0,0,1
"30003958",2,1,0,0,0,2,0
"30003967",1,1,0,0,0,0,1
"30003980",1,2,0,0,0,1,0
"30003985",2,1,0,0,2,0,0
"30003993",2,1,0,0,0,2,0
"30004003",4,1,2,0,2,0,0
"30004017",2,4,0,0,0,0,2
"30004023",1,1,0,0,1,0,0
"30004024",2,1,0,0,2,0,0
"30004031",2,4,0,0,0,0,2
"30004034",2,1,0,0,0,2,0
"30004045",1,2,0,0,0,1,0
"30004056",1,1,0,0,0,1,0
"30004062",1,1,0,0,0,1,0
"30004064",3,2,0,0,1,1,1
"30004079",1,4,0,0,0,0,1
"30004085",2,1,0,0,1,1,0
"30004086",4,1,0,2,2,0,0
"30004090",2,1,0,0,0,0,2
"30004102",2,1,0,0,0,2,0
"30004103",5,1,0,2,3,0,0
"30004110",2,1,0,0,0,2,0
"30004116",2,4,0,0,0,2,0
"30004117",2,1,0,0,0,0,2
"30004121",2,1,0,0,0,0,2
"30004131",2,4,0,0,0,2,0
"30004133",1,1,0,0,1,0,0
"30004134",2,1,0,0,0,2,0
"30004142",1,4,0,0,0,0,1
"30004143",6,4,0,2,2,2,0
"30004153",2,2,0,0,0,1,1
"30004154",2,1,0,0,0,2,0
"30004156",6,1,0,3,3,0,0
"30004158",2,1,0,0,0,2,0
"30004159",3,1,0,1,0,2,0
"30004165",2,1,0,0,0,2,0
"30004172",2,1,0,0,0,2,0
"30004193",2,2,0,0,2,0,0
"30004196",1,1,0,0,1,0,0
"30004199",1,1,0,0,1,0,0
"30004201",1,1,0,0,0,0,1
"30004211",2,1,0,0,0,0,2
"30004215",4,1,2,0,2,0,0
"30004218",2,2,0,0,1,1,0
"30004220",4,4,0,2,2,0,0
"30004225",1,4,0,0,0,1,0
"30004230",1,1,0,0,0,0,1
"30004239",2,1,0,0,1,1,0
"30004250",2,2,0,0,0,0,2
"30004251",2,4,0,0,0,0,2
"30004263",4,1,2,0,1,0,1
"30004277",2,1,0,0,2,0,0
"30004279",2,1,0,0,2,0,0
"30004285",1,1,0,0,0,0,1
"30004303",2,4,0,0,0,0,2
"30004311",2,1,0,0,0,2,0
"30004315",1,1,0,0,0,0,1
"30004319",2,1,0,0,2,0,0
"30004320",1,1,0,0,0,0,1
"30004325",1,2,0,0,0,1,0
"30004328",2,1,0,0,0,0,2
"30004345",1,1,0,0,0,1,0
"30004351",3,1,1,0,2,0,0
"30004354",6,2,1,2,2,1,0
"30004374",4,2,0,2,1,1,0
"30004379",3,1,0,0,3,0,0
"30004384",1,4,0,0,0,0,1
"30004404",3,2,0,1,2,0,0
"30004413",5,1,1,1,2,1,0
"30004426",4,4,0,2,2,0,0
"30004430",2,1,0,0,2,0,0
"30004435",2,2,0,0,0,0,2
"30004446",2,1,0,0,0,0,2
"30004453",1,1,0,0,0,1,0
"30004461",1,1,0,0,0,0,1
"30004471",2,1,0,0,0,0,2
"30004478",2,1,0,0,0,2,0
"30004479",2,4,0,0,0,2,0
"30004481",2,2,0,0,2,0,0
"30004482",2,1,0,0,0,2,0
"30004485",2,1,0,0,1,1,0
"30004489",3,1,1,0,2,0,0
"30004490",3,4,0,0,3,0,0
"30004492",1,1,0,0,0,1,0
"30004493",4,1,0,2,1,0,1
"30004496",2,1,0,0,0,2,0
"30004497",1,4,0,0,0,0,1
"30004504",4,1,0,2,2,0,0
"30004508",1,1,0,0,0,0,1
"30004527",5,4,3,1,1,0,0
"30004530",1,1,0,0,1,0,0
"30004535",2,1,0,0,2,0,0
"30004554",1,1,0,0,0,0,1
"30004555",2,4,0,0,0,0,2
"30004574",3,1,0,0,3,0,0
"30004578",3,1,0,2,1,0,0
"30004585",1,1,0,0,1,0,0
"30004593",2,1,0,0,0,1,1
"30004597",2,1,0,0,2,0,0
"30004610",1,1,0,0,0,0,1
"30004624",3,1,0,0,1,2,0
"30004634",1,1,0,0,0,0,1
"30004637",4,1,0,1,2,1,0
"30004638",3,4,0,1,2,0,0
"30004643",2,1,0,0,0,0,2
"30004647",3,1,0,1,1,1,0
"30004649",3,1,0,1,2,0,0
"30004660",1,1,0,0,1,0,0
"30004662",3,2,0,1,0,2,0
"30004674",1,1,0,0,0,1,0
"30004684",2,1,0,0,0,1,1
"30004685",1,1,0,0,0,1,0
"30004688",2,1,0,0,0,2,0
"30004704",4,4,2,0,1,1,0
"30004714",1,1,0,0,0,0,1
"30004718",4,4,0,2,2,0,0
"30004719",2,4,0,0,0,2,0
"30004730",1,1,0,0,0,0,1
"30004735",1,1,0,0,1,0,0
"30004743",3,4,0,1,1,1,0
"30004744",1,2,0,0,0,1,0
"30004749",1,1,0,0,0,1,0
"30004757",2,4,0,0,0,0,2
"30004758",1,4,0,0,0,0,1
"30004759",3,1,0,1,2,0,0
"30004764",3,4,0,1,1,1,0
"30004769",3,1,0,1,2,0,0
"30004784",1,1,0,0,1,0,0
"30004793",1,1,0,0,0,0,1
